respondent_id,age_band,response
R0433,65+,"Well, my doctor explained it and I was happy, nothing else to add really!"
R0434,18-39,"Honestly, I decided against it deliberately."
R0435,65+,"Well, kept putting it off for no good reason."
R0436,18-39,"To be fair, childcare makes a weekday appointment impossible, kept putting it off for no good reason, hard to explain any better than that."
R0437,18-39,"Put it this way, my nurse recommended it twice, nothing else to add really."
R0438,40-64,"Look, I just do not think it is necessary."
R0439,40-64,"Childcare makes a weekday appointment impossible, nothing else to add really."
R0440,18-39,"Truthfully, the staff were perfectly polite, it is complicated."
R0441,40-64,"My nurse recommended it twice, nothing else to add really!"
R0442,40-64,"No religious reason, I simply forgot, nothing else to add really."
R0443,18-39,"If I am honest, not one person in the surgery mentioned it, anyway, that is my reason."
R0444,65+,"There is too much money in it for me to believe them, make of that what you will!"
R0445,40-64,"To be fair, it is on my list, honestly it is, make of that what you will."
R0446,18-39,"Kept putting it off for no good reason, hard to explain any better than that!"
R0447,65+,"Well, the staff were perfectly polite, nothing else to add really!"
R0448,65+,"If I am honest, I just do not think it is necessary, nothing else to add really."
R0449,40-64,"They rushed it out to make money, there is no bus out here and I do not drive!"
R0450,18-39,"Look, kept putting it off for no good reason, it is complicated."
R0451,18-39,"Was made to feel stupid for asking a question, nothing else to add really."
R0452,18-39,"No religious reason, I simply forgot, that is about the size of it!"
R0453,40-64,"To be fair, the manufacturers have lied before and got away with it, I heard nothing from anybody about it."
R0454,40-64,"If I am honest, my nurse recommended it twice!"
R0455,40-64,"Well, I just do not think it is necessary, anyway, that is my reason."
R0456,18-39,"Look, my shifts never line up with their opening hours."
R0457,18-39,I keep meaning to book it and forgetting!
R0458,65+,"Look, childcare makes a weekday appointment impossible, nothing else to add really!"
R0459,65+,"Honestly, the clinic closes at five and I work two jobs, hard to explain any better than that."
R0460,65+,"Was made to feel stupid for asking a question, it is complicated."
R0461,40-64,"There is no bus out here and I do not drive, that is about the size of it."
R0462,65+,"Honestly, the nearest centre is forty miles away, make of that what you will."
R0463,65+,"The clinic closes at five and I work two jobs, was made to feel stupid for asking a question, I leave these things in God's hands."
R0464,65+,"Look, was made to feel stupid for asking a question."
R0465,65+,"Honestly, my doctor explained it and I was happy, hard to explain any better than that."
R0466,65+,"To be fair, the nearest centre is forty miles away, make of that what you will."
R0467,40-64,"Truthfully, I keep meaning to book it and forgetting, the nearest centre is forty miles away, the receptionist was dismissive and rude."
R0468,40-64,"Childcare makes a weekday appointment impossible, there is too much money in it for me to believe them!"
R0469,18-39,Nobody would explain anything to me properly.
R0470,65+,"If I am honest, I would have had to pay for parking twice over."
R0471,65+,"Truthfully, my nurse recommended it twice, nothing else to add really."
R0472,65+,"The drug companies only care about profit, the clinic closes at five and I work two jobs, make of that what you will."
R0473,65+,"Put it this way, I decided against it deliberately."
R0474,18-39,"Could not get the time off work for it, kept putting it off for no good reason."
R0475,18-39,"Truthfully, I heard nothing from anybody about it, it is complicated."
R0476,40-64,"The staff were perfectly polite, it is complicated."
R0477,65+,"Well, nobody ever suggested I should have it!"
R0478,65+,"Just have not got round to it yet, the manufacturers have lied before and got away with it!"
R0479,18-39,I felt patronised for the whole visit!
R0480,40-64,"I keep meaning to book it and forgetting, nothing else to add really!"
R0481,18-39,"Truthfully, no one told me I was even eligible, I felt patronised for the whole visit, that is about the size of it."
R0482,65+,"Follow the money and you have your answer, it is on my list, honestly it is, anyway, that is my reason!"
R0483,18-39,"Well, I would have had to pay for parking twice over!"
R0484,18-39,"Childcare makes a weekday appointment impossible, anyway, that is my reason!"
R0485,18-39,"Truthfully, I keep meaning to book it and forgetting."
R0486,18-39,"Honestly, kept putting it off for no good reason, was made to feel stupid for asking a question, anyway, that is my reason!"
R0487,40-64,"It is on my list, honestly it is, my shifts never line up with their opening hours, I felt patronised for the whole visit, no one told me I was even eligible."
R0488,65+,"Honestly, I decided against it deliberately, it is complicated."
R0489,65+,"Put it this way, could not get the time off work for it."
R0490,40-64,"Put it this way, my shifts never line up with their opening hours!"
R0491,18-39,"My doctor explained it and I was happy, nothing else to add really!"
R0492,65+,"Well, the nearest centre is forty miles away, no one told me I was even eligible, I do not trust big pharma, full stop, make of that what you will."
R0493,18-39,"Look, I heard nothing from anybody about it, the clinic closes at five and I work two jobs, I will do it next month, probably, nothing else to add really."
R0494,18-39,"Put it this way, my doctor explained it and I was happy!"
R0495,65+,"My nurse recommended it twice, that is about the size of it."
R0496,40-64,"If I am honest, the staff were perfectly polite, make of that what you will!"
R0497,65+,"I keep meaning to book it and forgetting, nothing else to add really."
R0498,18-39,"The nearest centre is forty miles away, I will do it next month, probably, make of that what you will!"
R0499,40-64,"To be fair, I leave these things in God's hands!"
R0500,18-39,"Well, the nearest centre is forty miles away, it is complicated."
R0501,40-64,"Look, nobody ever suggested I should have it, just have not got round to it yet!"
R0502,18-39,"I decided against it deliberately, that is about the size of it."
R0503,40-64,"Just have not got round to it yet, anyway, that is my reason."
R0504,40-64,"Was made to feel stupid for asking a question, the booking line was engaged every time I rang."
R0505,40-64,"If I am honest, my shifts never line up with their opening hours, I keep meaning to book it and forgetting!"
R0506,40-64,"Follow the money and you have your answer, the clinic closes at five and I work two jobs."
R0507,18-39,"No one told me I was even eligible, I keep meaning to book it and forgetting, my church teaches against it, that is about the size of it."
R0508,65+,"Honestly, follow the money and you have your answer, there is no bus out here and I do not drive, anyway, that is my reason."
R0509,40-64,"My GP never brought it up, the manufacturers have lied before and got away with it."
R0510,65+,"If I am honest, my doctor explained it and I was happy, make of that what you will!"
R0511,40-64,"It is on my list, honestly it is, anyway, that is my reason."
R0512,18-39,"Honestly, nobody ever suggested I should have it."
R0513,40-64,"Well, my church teaches against it, nothing else to add really."
R0514,40-64,It goes against my faith.
R0515,40-64,"It goes against my faith, it is complicated!"
R0516,18-39,"My GP never brought it up, make of that what you will."
R0517,40-64,"If I am honest, just have not got round to it yet, childcare makes a weekday appointment impossible."
R0518,65+,"Honestly, my nurse recommended it twice."
R0519,65+,"Truthfully, just have not got round to it yet!"
R0520,40-64,"The booking line was engaged every time I rang, make of that what you will!"
R0521,40-64,"Truthfully, the staff were perfectly polite."
R0522,65+,"There is too much money in it for me to believe them, the booking line was engaged every time I rang, it is complicated."
R0523,18-39,"To be fair, I will do it next month, probably, not one person in the surgery mentioned it."
R0524,40-64,"I keep meaning to book it and forgetting, nobody ever suggested I should have it!"
R0525,40-64,"The receptionist was dismissive and rude, the manufacturers have lied before and got away with it!"
R0526,65+,"I keep meaning to book it and forgetting, it is complicated."
R0527,18-39,"I do not trust big pharma, full stop."
R0528,40-64,"There is no bus out here and I do not drive, it is complicated!"
R0529,65+,"If I am honest, nobody ever suggested I should have it, anyway, that is my reason."
R0530,40-64,"Truthfully, kept putting it off for no good reason."
R0531,18-39,"To be fair, no religious reason, I simply forgot, anyway, that is my reason."
R0532,65+,"Truthfully, follow the money and you have your answer, nothing else to add really."
R0533,18-39,"Honestly, the nearest centre is forty miles away, nothing else to add really."
R0534,40-64,"I leave these things in God's hands, make of that what you will."
R0535,65+,"Honestly, my GP never brought it up."
R0536,40-64,"Well, my doctor explained it and I was happy!"
R0537,18-39,"Honestly, I decided against it deliberately, that is about the size of it!"
R0538,18-39,"Honestly, it is on my list, honestly it is, anyway, that is my reason!"
R0539,65+,"Look, not one person in the surgery mentioned it."
R0540,40-64,"To be fair, no one told me I was even eligible, childcare makes a weekday appointment impossible."
R0541,18-39,Follow the money and you have your answer.
R0542,65+,"It is on my list, honestly it is, make of that what you will."
R0543,18-39,"Well, the clinic closes at five and I work two jobs!"
R0544,65+,"Well, I decided against it deliberately."
R0545,40-64,"I will do it next month, probably, follow the money and you have your answer, make of that what you will."
R0546,65+,"My doctor explained it and I was happy, nothing else to add really."
R0547,18-39,"If I am honest, I just do not think it is necessary, hard to explain any better than that."
R0548,18-39,"I leave these things in God's hands, there is no bus out here and I do not drive, was made to feel stupid for asking a question."
R0549,40-64,"To be fair, nobody ever suggested I should have it."
R0550,40-64,"Well, nobody would explain anything to me properly, anyway, that is my reason."
R0551,65+,Not one person in the surgery mentioned it!
R0552,18-39,"Truthfully, it is on my list, honestly it is!"
R0553,40-64,"To be fair, the manufacturers have lied before and got away with it, that is about the size of it."
R0554,40-64,"Look, my doctor explained it and I was happy, hard to explain any better than that."
R0555,18-39,"My GP never brought it up, hard to explain any better than that."
R0556,65+,"The drug companies only care about profit, the booking line was engaged every time I rang, nobody ever suggested I should have it, nothing else to add really!"
R0557,18-39,"Put it this way, just have not got round to it yet!"
R0558,65+,The nearest centre is forty miles away.
R0559,40-64,"To be fair, the staff were perfectly polite, make of that what you will!"
R0560,18-39,"I heard nothing from anybody about it, I keep meaning to book it and forgetting, make of that what you will!"
R0561,18-39,"I keep meaning to book it and forgetting, that is about the size of it!"
R0562,18-39,"I felt patronised for the whole visit, it is complicated!"
R0563,18-39,"Honestly, the staff were perfectly polite."
R0564,65+,"If I am honest, I keep meaning to book it and forgetting, they talked over me like I was not there."
R0565,40-64,"Put it this way, I would have had to pay for parking twice over."
R0566,40-64,"If I am honest, the nearest centre is forty miles away, nobody would explain anything to me properly."
R0567,40-64,"Honestly, nobody would explain anything to me properly, nothing else to add really!"
R0568,18-39,"Well, the drug companies only care about profit, I would have had to pay for parking twice over, that is about the size of it!"
R0569,65+,"If I am honest, there is no bus out here and I do not drive, that is about the size of it."
R0570,65+,"I heard nothing from anybody about it, they rushed it out to make money, it is complicated."
R0571,65+,"Put it this way, no religious reason, I simply forgot!"
R0572,18-39,"It is on my list, honestly it is, I do not trust big pharma, full stop, there is no bus out here and I do not drive, that is about the size of it!"
R0573,40-64,"If I am honest, I just do not think it is necessary."
R0574,65+,"I just do not think it is necessary, it is complicated."
R0575,40-64,"Well, my GP never brought it up."
R0576,65+,"Honestly, I just do not think it is necessary, make of that what you will."
R0577,40-64,"There is too much money in it for me to believe them, my church teaches against it, nothing else to add really."
R0578,65+,"Well, I decided against it deliberately, that is about the size of it."
R0579,65+,"Well, was made to feel stupid for asking a question, I will do it next month, probably, the manufacturers have lied before and got away with it!"
R0580,18-39,"Truthfully, I just do not think it is necessary, nothing else to add really."
R0581,18-39,"Honestly, kept putting it off for no good reason, could not get the time off work for it, nobody ever suggested I should have it."
R0582,18-39,"Just have not got round to it yet, anyway, that is my reason!"
R0583,40-64,"I would have had to pay for parking twice over, that is about the size of it."
R0584,65+,"I decided against it deliberately, it is complicated!"
R0585,65+,"To be fair, could not get the time off work for it, nobody ever suggested I should have it, I keep meaning to book it and forgetting."
R0586,18-39,"Truthfully, I decided against it deliberately, make of that what you will!"
R0587,65+,"Well, the clinic closes at five and I work two jobs, anyway, that is my reason!"
R0588,65+,"No one told me I was even eligible, that is about the size of it."
R0589,40-64,"Honestly, my nurse recommended it twice, it is complicated!"
R0590,18-39,"There is too much money in it for me to believe them, anyway, that is my reason."
R0591,18-39,"Truthfully, not one person in the surgery mentioned it!"
R0592,40-64,"Truthfully, my nurse recommended it twice, it is complicated."
R0593,65+,"No religious reason, I simply forgot, hard to explain any better than that."
R0594,40-64,I would have had to pay for parking twice over.
R0595,18-39,"To be fair, was made to feel stupid for asking a question."
R0596,18-39,"Just have not got round to it yet, the manufacturers have lied before and got away with it, nobody would explain anything to me properly, could not get the time off work for it, that is about the size of it."
R0597,18-39,"Well, the booking line was engaged every time I rang, it is on my list, honestly it is, anyway, that is my reason."
R0598,18-39,"My nurse recommended it twice, anyway, that is my reason."
R0599,65+,"Well, they talked over me like I was not there, the booking line was engaged every time I rang, hard to explain any better than that!"
R0600,65+,"Well, my church teaches against it, childcare makes a weekday appointment impossible, anyway, that is my reason!"
R0601,65+,"Look, I keep meaning to book it and forgetting, that is about the size of it!"
R0602,40-64,"The clinic closes at five and I work two jobs, just have not got round to it yet, nothing else to add really."
R0603,65+,"If I am honest, my nurse recommended it twice, hard to explain any better than that!"
R0604,65+,"To be fair, not one person in the surgery mentioned it, that is about the size of it."
R0605,18-39,"Not one person in the surgery mentioned it, it is complicated."
R0606,18-39,"To be fair, they rushed it out to make money."
R0607,18-39,"Just have not got round to it yet, childcare makes a weekday appointment impossible, anyway, that is my reason!"
R0608,18-39,"Just have not got round to it yet, I felt patronised for the whole visit."
R0609,65+,"Truthfully, the drug companies only care about profit, my shifts never line up with their opening hours."
R0610,65+,"To be fair, there is no bus out here and I do not drive!"
R0611,65+,"Put it this way, the staff were perfectly polite, that is about the size of it."
R0612,18-39,"Was made to feel stupid for asking a question, my GP never brought it up, that is about the size of it!"
R0613,65+,"Put it this way, I decided against it deliberately, make of that what you will."
R0614,40-64,"Childcare makes a weekday appointment impossible, make of that what you will!"
R0615,65+,"I decided against it deliberately, that is about the size of it!"
R0616,40-64,"If I am honest, no one told me I was even eligible, kept putting it off for no good reason, my shifts never line up with their opening hours."
R0617,40-64,"Honestly, my shifts never line up with their opening hours, make of that what you will."
R0618,40-64,"Honestly, it is on my list, honestly it is, nobody would explain anything to me properly!"
R0619,65+,"To be fair, I decided against it deliberately, anyway, that is my reason."
R0620,18-39,"There is too much money in it for me to believe them, no one told me I was even eligible, anyway, that is my reason!"
R0621,18-39,"If I am honest, I do not trust big pharma, full stop, it is complicated."
R0622,18-39,"To be fair, my nurse recommended it twice, it is complicated."
R0623,18-39,"To be fair, I leave these things in God's hands."
R0624,18-39,"If I am honest, I do not trust big pharma, full stop."
R0625,18-39,"If I am honest, the staff were perfectly polite, that is about the size of it."
R0626,18-39,"No religious reason, I simply forgot, nothing else to add really!"
R0627,40-64,"My nurse recommended it twice, anyway, that is my reason!"
R0628,40-64,"Put it this way, I do not trust big pharma, full stop, anyway, that is my reason."
R0629,65+,"I keep meaning to book it and forgetting, I do not trust big pharma, full stop."
R0630,40-64,"Put it this way, there is too much money in it for me to believe them, anyway, that is my reason!"
R0631,18-39,"Put it this way, my doctor explained it and I was happy, make of that what you will!"
R0632,40-64,"Follow the money and you have your answer, hard to explain any better than that."
R0633,40-64,"Put it this way, no religious reason, I simply forgot, hard to explain any better than that."
R0634,18-39,"I decided against it deliberately, hard to explain any better than that!"
R0635,18-39,"Well, no religious reason, I simply forgot, anyway, that is my reason."
R0636,40-64,"The booking line was engaged every time I rang, it is complicated."
R0637,65+,"Look, the booking line was engaged every time I rang!"
R0638,18-39,"Kept putting it off for no good reason, the receptionist was dismissive and rude, that is about the size of it."
R0639,65+,"Childcare makes a weekday appointment impossible, hard to explain any better than that."
R0640,40-64,"If I am honest, no one told me I was even eligible, anyway, that is my reason."
R0641,40-64,"Honestly, I decided against it deliberately, make of that what you will."
R0642,18-39,"My doctor explained it and I was happy, that is about the size of it!"
R0643,18-39,"Kept putting it off for no good reason, there is too much money in it for me to believe them."
R0644,65+,"If I am honest, my doctor explained it and I was happy."
R0645,40-64,"To be fair, follow the money and you have your answer, it is on my list, honestly it is."
R0646,40-64,"No religious reason, I simply forgot, that is about the size of it."
R0647,18-39,"Honestly, my doctor explained it and I was happy, make of that what you will."
R0648,40-64,"I keep meaning to book it and forgetting, could not get the time off work for it."
R0649,40-64,"Well, my nurse recommended it twice, that is about the size of it."
R0650,65+,"Honestly, my doctor explained it and I was happy, hard to explain any better than that!"
R0651,40-64,"Nobody ever suggested I should have it, anyway, that is my reason."
R0652,65+,"Well, my nurse recommended it twice, it is complicated!"
R0653,65+,"Well, nobody would explain anything to me properly!"
R0654,40-64,"Honestly, my doctor explained it and I was happy, it is complicated!"
R0655,65+,"The booking line was engaged every time I rang, nobody ever suggested I should have it!"
R0656,65+,"If I am honest, I will do it next month, probably, was made to feel stupid for asking a question, make of that what you will."
R0657,40-64,"Truthfully, I will do it next month, probably!"
R0658,40-64,"Put it this way, I just do not think it is necessary, it is complicated!"
R0659,65+,"Well, nobody ever suggested I should have it, I keep meaning to book it and forgetting, anyway, that is my reason."
R0660,65+,"If I am honest, I keep meaning to book it and forgetting, they rushed it out to make money."
R0661,65+,"Look, I decided against it deliberately, nothing else to add really."
R0662,65+,"I decided against it deliberately, make of that what you will!"
R0663,65+,"If I am honest, the staff were perfectly polite, make of that what you will."
R0664,18-39,"To be fair, the staff were perfectly polite."
R0665,18-39,"Truthfully, the nearest centre is forty miles away, I will do it next month, probably, the drug companies only care about profit, anyway, that is my reason!"
R0666,40-64,"Follow the money and you have your answer, kept putting it off for no good reason."
R0667,65+,"Put it this way, my doctor explained it and I was happy, that is about the size of it."
R0668,18-39,"To be fair, no religious reason, I simply forgot!"
R0669,40-64,"There is no bus out here and I do not drive, just have not got round to it yet."
R0670,40-64,"My shifts never line up with their opening hours, my GP never brought it up, was made to feel stupid for asking a question."
R0671,65+,"Well, my nurse recommended it twice!"
R0672,65+,"Look, they rushed it out to make money!"
R0673,65+,"Truthfully, the receptionist was dismissive and rude!"
R0674,40-64,"The manufacturers have lied before and got away with it, make of that what you will."
R0675,65+,"The drug companies only care about profit, could not get the time off work for it."
R0676,40-64,"Truthfully, no religious reason, I simply forgot, it is complicated."
R0677,65+,"I keep meaning to book it and forgetting, make of that what you will."
R0678,65+,"If I am honest, the nearest centre is forty miles away."
R0679,18-39,"Truthfully, not one person in the surgery mentioned it, they talked over me like I was not there, anyway, that is my reason!"
R0680,65+,"Put it this way, I would have had to pay for parking twice over, the receptionist was dismissive and rude, that is about the size of it!"
R0681,18-39,"Honestly, follow the money and you have your answer, the receptionist was dismissive and rude, that is about the size of it!"
R0682,65+,"Childcare makes a weekday appointment impossible, I will do it next month, probably, anyway, that is my reason."
R0683,40-64,"Honestly, the clinic closes at five and I work two jobs, they talked over me like I was not there."
R0684,65+,"Kept putting it off for no good reason, that is about the size of it."
R0685,40-64,"Put it this way, there is no bus out here and I do not drive, nothing else to add really."
R0686,40-64,"Look, I felt patronised for the whole visit, nothing else to add really!"
R0687,40-64,"To be fair, I will do it next month, probably."
R0688,18-39,"Honestly, no one told me I was even eligible!"
R0689,65+,"Truthfully, nobody would explain anything to me properly, it goes against my faith."
R0690,40-64,"The staff were perfectly polite, make of that what you will."
R0691,65+,"Put it this way, the staff were perfectly polite, nothing else to add really!"
R0692,65+,"Well, my nurse recommended it twice, anyway, that is my reason!"
R0693,40-64,"The drug companies only care about profit, nothing else to add really."
R0694,40-64,"Put it this way, was made to feel stupid for asking a question, anyway, that is my reason."
R0695,65+,"No religious reason, I simply forgot, hard to explain any better than that!"
R0696,18-39,"My GP never brought it up, anyway, that is my reason!"
R0697,40-64,"Well, the staff were perfectly polite, make of that what you will."
R0698,18-39,"Honestly, I decided against it deliberately!"
R0699,18-39,"Look, I keep meaning to book it and forgetting, I do not trust big pharma, full stop, make of that what you will."
R0700,65+,"Well, they rushed it out to make money, my shifts never line up with their opening hours."
R0701,18-39,"Put it this way, there is too much money in it for me to believe them."
R0702,65+,"Put it this way, I keep meaning to book it and forgetting, that is about the size of it!"
R0703,40-64,"Truthfully, my GP never brought it up."
R0704,65+,"Well, there is no bus out here and I do not drive!"
R0705,65+,"Look, I felt patronised for the whole visit, that is about the size of it."
R0706,18-39,"Follow the money and you have your answer, that is about the size of it."
R0707,65+,"Look, just have not got round to it yet!"
R0708,65+,"I keep meaning to book it and forgetting, the drug companies only care about profit."
R0709,40-64,"Just have not got round to it yet, it is complicated."
R0710,65+,"If I am honest, no religious reason, I simply forgot, nothing else to add really."
R0711,65+,"Put it this way, could not get the time off work for it!"
R0712,40-64,"Put it this way, kept putting it off for no good reason."
R0713,40-64,"Honestly, nobody would explain anything to me properly, make of that what you will."
R0714,65+,"The staff were perfectly polite, that is about the size of it."
R0715,40-64,"Follow the money and you have your answer, childcare makes a weekday appointment impossible."
R0716,40-64,"Put it this way, they rushed it out to make money, hard to explain any better than that."
R0717,65+,"If I am honest, my shifts never line up with their opening hours."
R0718,65+,"Honestly, they talked over me like I was not there."
R0719,40-64,"Well, it goes against my faith."
R0720,18-39,"Put it this way, the drug companies only care about profit."
R0721,18-39,The drug companies only care about profit!
R0722,18-39,"The nearest centre is forty miles away, hard to explain any better than that!"
R0723,40-64,"Truthfully, my nurse recommended it twice."
R0724,18-39,"The receptionist was dismissive and rude, no one told me I was even eligible."
R0725,40-64,"Look, I do not trust big pharma, full stop, the clinic closes at five and I work two jobs, hard to explain any better than that!"
R0726,18-39,"Truthfully, I decided against it deliberately, anyway, that is my reason!"
R0727,18-39,No one told me I was even eligible.
R0728,65+,"To be fair, my doctor explained it and I was happy, nothing else to add really!"
R0729,18-39,"Honestly, the staff were perfectly polite, it is complicated."
R0730,40-64,"Look, they rushed it out to make money."
R0731,40-64,"Put it this way, nobody ever suggested I should have it!"
R0732,65+,"Honestly, my doctor explained it and I was happy!"
R0733,40-64,"Put it this way, the staff were perfectly polite, nothing else to add really."
R0734,40-64,"Truthfully, my doctor explained it and I was happy, anyway, that is my reason!"
R0735,65+,"I decided against it deliberately, anyway, that is my reason."
R0736,40-64,"Truthfully, no religious reason, I simply forgot, anyway, that is my reason!"
R0737,65+,"Kept putting it off for no good reason, the nearest centre is forty miles away, nobody ever suggested I should have it."
R0738,65+,"I would have had to pay for parking twice over, I heard nothing from anybody about it."
R0739,65+,"Childcare makes a weekday appointment impossible, it is complicated."
R0740,65+,"Well, the staff were perfectly polite!"
R0741,18-39,"My shifts never line up with their opening hours, the drug companies only care about profit, hard to explain any better than that."
R0742,65+,"Look, my doctor explained it and I was happy, nothing else to add really."
R0743,65+,"Put it this way, it is on my list, honestly it is, that is about the size of it."
R0744,65+,"If I am honest, I heard nothing from anybody about it, make of that what you will."
R0745,18-39,"To be fair, my shifts never line up with their opening hours, I do not trust big pharma, full stop."
R0746,18-39,"Truthfully, follow the money and you have your answer."
R0747,18-39,"Look, I heard nothing from anybody about it."
R0748,65+,"The staff were perfectly polite, nothing else to add really."
R0749,18-39,"Honestly, there is no bus out here and I do not drive."
R0750,18-39,"No religious reason, I simply forgot, make of that what you will."
R0751,18-39,"Honestly, no one told me I was even eligible."
R0752,18-39,"Look, I just do not think it is necessary, it is complicated."
R0753,65+,"If I am honest, I decided against it deliberately, make of that what you will!"
R0754,40-64,"Honestly, I would have had to pay for parking twice over, kept putting it off for no good reason."
R0755,65+,"Truthfully, the nearest centre is forty miles away, hard to explain any better than that."
R0756,65+,"Put it this way, just have not got round to it yet, the booking line was engaged every time I rang, anyway, that is my reason!"
R0757,40-64,"If I am honest, they talked over me like I was not there, I heard nothing from anybody about it, anyway, that is my reason."
R0758,40-64,"Put it this way, I decided against it deliberately, hard to explain any better than that."
R0759,65+,"If I am honest, the nearest centre is forty miles away, nothing else to add really!"
R0760,65+,"I heard nothing from anybody about it, it is on my list, honestly it is, anyway, that is my reason."
R0761,40-64,"Honestly, I will do it next month, probably."
R0762,65+,"Could not get the time off work for it, that is about the size of it."
R0763,40-64,"It goes against my faith, the manufacturers have lied before and got away with it!"
R0764,18-39,"Honestly, it is on my list, honestly it is."
R0765,65+,"Look, I decided against it deliberately, nothing else to add really!"
R0766,18-39,"To be fair, my doctor explained it and I was happy, make of that what you will!"
R0767,65+,"To be fair, just have not got round to it yet, the booking line was engaged every time I rang."
R0768,40-64,"My shifts never line up with their opening hours, I do not trust big pharma, full stop, make of that what you will."
R0769,65+,"Honestly, nobody ever suggested I should have it, I keep meaning to book it and forgetting!"
R0770,18-39,"Nobody would explain anything to me properly, hard to explain any better than that."
R0771,65+,"If I am honest, the clinic closes at five and I work two jobs!"
R0772,40-64,"Well, there is no bus out here and I do not drive, anyway, that is my reason!"
R0773,18-39,"Look, it is on my list, honestly it is."
R0774,40-64,"Put it this way, the manufacturers have lied before and got away with it!"
R0775,65+,"Honestly, nobody would explain anything to me properly, nothing else to add really."
R0776,65+,"Well, I decided against it deliberately, make of that what you will."
R0777,18-39,"If I am honest, I will do it next month, probably, nothing else to add really."
R0778,18-39,"I felt patronised for the whole visit, hard to explain any better than that."
R0779,40-64,"To be fair, no one told me I was even eligible, it is complicated."
R0780,40-64,"Put it this way, follow the money and you have your answer, nothing else to add really!"
R0781,18-39,"Look, the drug companies only care about profit!"
R0782,40-64,"Truthfully, I would have had to pay for parking twice over, make of that what you will!"
R0783,65+,"Truthfully, could not get the time off work for it, they talked over me like I was not there, that is about the size of it!"
R0784,40-64,"Put it this way, I do not trust big pharma, full stop, make of that what you will!"
R0785,40-64,"The receptionist was dismissive and rude, nobody ever suggested I should have it, anyway, that is my reason."
R0786,65+,"I would have had to pay for parking twice over, make of that what you will."
R0787,18-39,"Well, the nearest centre is forty miles away, I do not trust big pharma, full stop, it is complicated!"
R0788,40-64,"The nearest centre is forty miles away, that is about the size of it."
R0789,40-64,"Put it this way, my GP never brought it up, kept putting it off for no good reason!"
R0790,65+,"Could not get the time off work for it, the manufacturers have lied before and got away with it, nobody would explain anything to me properly."
R0791,65+,"Truthfully, childcare makes a weekday appointment impossible."
R0792,18-39,"Truthfully, no one told me I was even eligible, kept putting it off for no good reason!"
R0793,40-64,"I leave these things in God's hands, nothing else to add really."
R0794,65+,"Put it this way, kept putting it off for no good reason, nothing else to add really."
R0795,40-64,"Put it this way, no religious reason, I simply forgot, that is about the size of it."
R0796,65+,"Honestly, I will do it next month, probably, it is complicated."
R0797,40-64,"Put it this way, follow the money and you have your answer!"
R0798,18-39,"Honestly, could not get the time off work for it, kept putting it off for no good reason!"
R0799,18-39,"I do not trust big pharma, full stop, I will do it next month, probably, I would have had to pay for parking twice over, I heard nothing from anybody about it."
R0800,40-64,"If I am honest, no religious reason, I simply forgot, that is about the size of it."
R0801,65+,"The manufacturers have lied before and got away with it, not one person in the surgery mentioned it!"
R0802,18-39,"Look, my shifts never line up with their opening hours!"
R0803,65+,"Truthfully, just have not got round to it yet, anyway, that is my reason."
R0804,40-64,"Look, my nurse recommended it twice, anyway, that is my reason."
R0805,65+,"Well, I would have had to pay for parking twice over, I keep meaning to book it and forgetting, I heard nothing from anybody about it, nothing else to add really!"
R0806,18-39,I heard nothing from anybody about it!
R0807,18-39,"Honestly, the staff were perfectly polite, anyway, that is my reason!"
R0808,18-39,"It is on my list, honestly it is, I do not trust big pharma, full stop, the booking line was engaged every time I rang, make of that what you will."
R0809,65+,"Truthfully, I do not trust big pharma, full stop."
R0810,65+,"Honestly, my shifts never line up with their opening hours, they rushed it out to make money."
R0811,18-39,"I felt patronised for the whole visit, anyway, that is my reason!"
R0812,40-64,"Honestly, I felt patronised for the whole visit."
R0813,40-64,"To be fair, nobody would explain anything to me properly, hard to explain any better than that."
R0814,18-39,"Truthfully, the clinic closes at five and I work two jobs, follow the money and you have your answer."
R0815,18-39,"Put it this way, I just do not think it is necessary, that is about the size of it."
R0816,65+,"The manufacturers have lied before and got away with it, no one told me I was even eligible!"
R0817,18-39,"Look, it is on my list, honestly it is!"
R0818,40-64,"Well, I just do not think it is necessary, hard to explain any better than that."
R0819,65+,"Honestly, the nearest centre is forty miles away, make of that what you will!"
R0820,18-39,"Well, nobody ever suggested I should have it, that is about the size of it!"
R0821,65+,"They talked over me like I was not there, that is about the size of it!"
R0822,65+,"Put it this way, no religious reason, I simply forgot, make of that what you will."
R0823,18-39,"My GP never brought it up, it is complicated."
R0824,18-39,"I heard nothing from anybody about it, hard to explain any better than that!"
R0825,40-64,"The drug companies only care about profit, not one person in the surgery mentioned it."
R0826,18-39,"Put it this way, I just do not think it is necessary, it is complicated."
R0827,18-39,"To be fair, I decided against it deliberately, that is about the size of it!"
R0828,18-39,"Follow the money and you have your answer, they talked over me like I was not there, hard to explain any better than that!"
R0829,65+,"Well, my church teaches against it, I keep meaning to book it and forgetting."
R0830,18-39,"I heard nothing from anybody about it, it is on my list, honestly it is!"
R0831,18-39,"To be fair, I just do not think it is necessary!"
R0832,18-39,"Truthfully, I decided against it deliberately!"
R0833,65+,"Honestly, the nearest centre is forty miles away."
R0834,18-39,"If I am honest, my GP never brought it up."
R0835,65+,"They rushed it out to make money, childcare makes a weekday appointment impossible, it is complicated!"
